X,Y
-1.9003671286564703,3.2536754211637646
-1.599337132992489,3.163655265538746
-1.4232458739368077,3.091950439746961
-1.2983071373285078,2.955156154558028
-1.2013971243204515,2.826777628987961
-1.1222158782728267,2.778810316365064
-1.0552690886422134,2.6971150358398845
-0.9972771416645266,2.701260093617597
-0.9461246192171454,2.5686024993856993
-0.9003671286564703,2.495803400922664
-0.8589744434982453,2.3770751018207186
-0.8211858826088454,2.342380903221137
-0.7864237763496335,2.3529128657566343
-0.7542390929782322,2.3505166544099043
-0.724275869600789,2.356669858733903
-0.6962471460005455,2.544337542542789
-0.6699182072781964,2.7439195828359604
-0.6450946235531642,2.592074332263762
-0.6216135277036413,2.4050432841206977
-0.599337132992489,2.3075960603966847
-0.578147833922551,2.2351189770197926
-0.5579444478342641,2.2124556979314796
-0.5386392926388774,2.2040815043922874
-0.5201558869448641,2.2025292693679606
-0.5024271199844326,2.1889719359343833
