X,Y
-1.9003671286564703,3.54777624459152
-1.599337132992489,3.4466694344406905
-1.4232458739368077,3.2413016966356336
-1.2983071373285078,3.080567574331441
-1.2013971243204515,2.92568627379629
-1.1222158782728267,2.857976869017474
-1.0552690886422134,2.736608049036696
-0.9972771416645266,2.668778725637483
-0.9461246192171454,2.6331623416234446
-0.9003671286564703,2.565130282279018
-0.8589744434982453,2.5152897007182062
-0.8211858826088454,2.496753596023901
-0.7864237763496335,2.4515968153466723
-0.7542390929782322,2.4411505816897017
-0.724275869600789,2.447511337285577
-0.6962471460005455,2.4420003252969367
-0.6699182072781964,2.4191661058692935
-0.6450946235531642,2.4145108748989776
-0.6216135277036413,2.418335286906173
-0.599337132992489,2.4701039650957144
-0.578147833922551,2.5168843532647243
-0.5579444478342641,2.5101339810225776
-0.5386392926388774,2.478378349538505
-0.5201558869448641,2.4204342792187767
-0.5024271199844326,2.4312181594150926
